,번역,수정사항,,,,,,,,,,,,,,,,,,,,,,,4
,,,,,,,,,,,,,,,,,,,,,,,,,0
,주、죽은 건가‥‥?,,,,,,,,,,,,,,,,,,,,,,,,0
,설마‥‥그 녀석이‥‥。,,,,,,,,,,,,,,,,,,,,,,,,0
,그、그렇다면‥‥！,,,,,,,,,,,,,,,,,,,,,,,,0
,어、어、어떻게 해야‥‥。,,,,,,,,,,,,,,,,,,,,,,,,0
,겁먹지 마‥‥,,,,,,,,,,,,,,,,,,,,,,,,0
,나에게‥‥,,,,,,,,,,,,,,,,,,,,,,,,0
,한 가지 방안이 있어‥‥。,좋은 생각이 있어‥‥。,,,,,,,,,,,,,,,,,,,,,,,12
,5월13일 오후 9:45,,,,,,,,,,,,,,,,,,,,,,,,0
,지방재판소 피고인 제6대기실,,,,,,,,,,,,,,,,,,,,,,,,0
,（어휴!）,,,,,,,,,,,,,,,,,,,,,,,,0
,（피고인을 데려오겠다는 사람이,,,,,,,,,,,,,,,,,,,,,,,,0
,지각이라니!）,,,,,,,,,,,,,,,,,,,,,,,,0
,（갑작스러운 의뢰라서、이야기도,,,,,,,,,,,,,,,,,,,,,,,,0
,못 들었는데!）,,,,,,,,,,,,,,,,,,,,,,,,0
,늦어! 늦어!,,,,,,,,,,,,,,,,,,,,,,,,0
,내 이름은 키즈키 코코네。,,,,,,,,,,,,,,,,,,,,,,,,0
,심리학을 무기로、나루호도,,,,,,,,,,,,,,,,,,,,,,,,0
,무엇이든 사무소를 지키는‥‥,,,,,,,,,,,,,,,,,,,,,,,,0
,“제 몫을 하는”변호사다!,“어엿한”변호사다!,,,,,,,,,,,,,,,,,,,,,,,10
,지금부터 시작될 재판의,,,,,,,,,,,,,,,,,,,,,,,,0
,의뢰인을 기다리고 있는데‥‥,,,,,,,,,,,,,,,,,,,,,,,,0
,훗。,,,,,,,,,,,,,,,,,,,,,,,,0
,겨우、도착했구만‥‥。,,,,,,,,,,,,,,,,,,,,,,,,0
,아!,,,,,,,,,,,,,,,,,,,,,,,,0
,어디서 게으름 피우다 온 거예요!,,,,,,,,,,,,,,,,,,,,,,,,0
,이제 곧 개정한다구요‥‥,,,,,,,,,,,,,,,,,,,,,,,,0
,유가미 씨!,,,,,,,,,,,,,,,,,,,,,,,,0
,뭘 그리 허둥지둥 대나。,,,,,,,,,,,,,,,,,,,,,,,,0
,츠키 선생。,,,,,,,,,,,,,,,,,,,,,,,,0
,재판장 따위、,,,,,,,,,,,,,,,,,,,,,,,,0
,기다리라 하면 장땡이야。,,,,,,,,,,,,,,,,,,,,,,,,0
,절대、안 기다려준다니까요!,,,,,,,,,,,,,,,,,,,,,,,,0
,일부러 불리한 상황을 만들면,,,,,,,,,,,,,,,,,,,,,,,,0
,어쩌자는 거예요!,,,,,,,,,,,,,,,,,,,,,,,,0
,그걸 어떻게 하는 게,,,,,,,,,,,,,,,,,,,,,,,,0
,변호사의 역할 아니냐。,,,,,,,,,,,,,,,,,,,,,,,,0
,유가미 씨의 지각 서포트는,,,,,,,,,,,,,,,,,,,,,,,,0
,제가 할 일이 아니거든요!,,,,,,,,,,,,,,,,,,,,,,,,0
,나 원 참。이러니까,,,,,,,,,,,,,,,,,,,,,,,,0
ㅁ,제 몫을 못 한단 거지‥‥。,어리숙하단 거지‥‥。,의견 필요,,,,,,,,,,,,,,,,,,,,,,11
,이 사람의 이름은,,,,,,,,,,,,,,,,,,,,,,,,0
,유가미 진。,,,,,,,,,,,,,,,,,,,,,,,,0
,겉보기엔 무섭지만、검사님에다가,,,,,,,,,,,,,,,,,,,,,,,,0
,심리학의 스페셜리스트다。,,,,,,,,,,,,,,,,,,,,,,,,0
,나와는 옛날부터 이어진,,,,,,,,,,,,,,,,,,,,,,,,0
,악연으로‥‥,,,,,,,,,,,,,,,,,,,,,,,,0
,심리학에 있어서는‥‥,,,,,,,,,,,,,,,,,,,,,,,,0
,일단、선배 같은 사람이려나。,,,,,,,,,,,,,,,,,,,,,,,,0
