,번역,수정사항,,,,,,,,,,,,,,,,,,,,,,2,4
,,,,,,,,,,,,,,,,,,,,,,,,0,0
,여기는 이미 조사했지。,,,,,,,,,,,,,,,,,,,,,,,12,0
,,,,,,,,,,,,,,,,,,,,,,,,0,0
,특별히 신경 쓰이는 곳은 없군。,,,,,,,,,,,,,,,,,,,,,,,17,0
,,,,,,,,,,,,,,,,,,,,,,,,0,0
,（쿠라인교도는 아니지만、,,,,,,,,,,,,,,,,,,,,,,,13,0
,필사적으로 기도를 올리면‥‥）,,,,,,,,,,,,,,,,,,,,,,,16,0
,（시조님이 도와주시‥‥,,,,,,,,,,,,,,,,,,,,,,,12,0
,진 않겠지‥‥）,,,,,,,,,,,,,,,,,,,,,,,8,0
,（역시、자력으로 어떻게든,,,,,,,,,,,,,,,,,,,,,,,13,0
,할 수밖에 없나‥‥）,,,,,,,,,,,,,,,,,,,,,,,11,0
,,,,,,,,,,,,,,,,,,,,,,,,0,0
,（승려들의 기도를 올리는 소리가,,,,,,,,,,,,,,,,,,,,,,,17,0
,여기까지 들려온다‥‥）,,,,,,,,,,,,,,,,,,,,,,,12,0
,（무사히、마요이를,,,,,,,,,,,,,,,,,,,,,,,9,0
,구할 수 있기를‥‥！）,,,,,,,,,,,,,,,,,,,,,,,12,0
,（승려의 기도에 섞여서,,,,,,,,,,,,,,,,,,,,,,,12,0
,시조님에게 닿지 않을까‥‥）,,,,,,,,,,,,,,,,,,,,,,,15,0
,,,,,,,,,,,,,,,,,,,,,,,,0,0
,（연못에 비치는 자신의 모습이,,,,,,,,,,,,,,,,,,,,,,,16,0
,조금 초라해 보인다‥‥）,,,,,,,,,,,,,,,,,,,,,,,13,0
,（마치、지금 내 안의 심정을,,,,,,,,,,,,,,,,,,,,,,,15,0
,보여주고 있는 것 같다）,,,,,,,,,,,,,,,,,,,,,,,13,0
,（‥‥이런 이런、안 되지 안 돼）,,,,,,,,,,,,,,,,,,,,,,,18,0
,（마요이를 위해서도、나약해져,,,,,,,,,,,,,,,,,,,,,,,15,0
,있을 순 없지）,,,,,,,,,,,,,,,,,,,,,,,8,0
,（머무는 동안 신세 지고 있으니、,,,,,,,,,,,,,,,,,,,,,,,18,0
,가끔은 경배해둘까‥‥）,,,,,,,,,,,,,,,,,,,,,,,12,0
,（좀 더 부드러운 이불을,,,,,,,,,,,,,,,,,,,,,,,13,0
,쓰게 해주세요‥‥）,,,,,,,,,,,,,,,,,,,,,,,10,0
,（아침밥、좀 더 많이,,,,,,,,,,,,,,,,,,,,,,,11,0
,부탁드립니다‥‥）,,,,,,,,,,,,,,,,,,,,,,,9,0
,감탄했어요！,,,,,,,,,,,,,,,,,,,,,,,6,0
,기도는 쿠라인교의 기본。,,,,,,,,,,,,,,,,,,,,,,,13,0
,나루호도 씨에게 시조님의,,,,,,,,,,,,,,,,,,,,,,,13,0
,가호가 있기를！,,,,,,,,,,,,,,,,,,,,,,,8,0
,고、고마워‥‥。,,,,,,,,,,,,,,,,,,,,,,,8,0
,（뭐、뭐랄까、미안하네‥‥）,,,,,,,,,,,,,,,,,,,,,,,14,0
,,,,,,,,,,,,,,,,,,,,,,,,0,0
,저 근처의 건물은,,,,,,,,,,,,,,,,,,,,,,,9,0
,뭘 하는 장소야?,,,,,,,,,,,,,,,,,,,,,,,9,0
,저긴 수행장이에요。,,,,,,,,,,,,,,,,,,,,,,,10,0
,저 안에서 쿠라인교의 승려님들은,,,,,,,,,,,,,,,,,,,,,,,17,0
,밤낮、고된 수행을 하고 있어요。,,,,,,,,,,,,,,,,,,,,,,,17,0
,‥‥괜찮으시면、,,,,,,,,,,,,,,,,,,,,,,,8,0
,수행 체험을 해보실래요？,,,,,,,,,,,,,,,,,,,,,,,13,0
,물구나무서서 명상 같은‥‥！,,,,,,,,,,,,,,,,,,,,,,,15,0
,저、전력으로,,,,,,,,,,,,,,,,,,,,,,,6,0
,사양하도록 할게！,,,,,,,,,,,,,,,,,,,,,,,9,0
,,,,,,,,,,,,,,,,,,,,,,,,0,0
,언제나 생각하지만、,,,,,,,,,,,,,,,,,,,,,,,10,0
,정말 깨끗한 샘이야。,,,,,,,,,,,,,,,,,,,,,,,11,0
,역시 나루호도 씨、,,,,,,,,,,,,,,,,,,,,,,,10,0
,안목이 있으시군요！,,,,,,,,,,,,,,,,,,,,,,,10,0
,이건 지인사 관광의 핵심、,,,,,,,,,,,,,,,,,,,,,,,14,0
,《인도의 샘》이에요！,,,,,,,,,,,,,,,,,,,,,,,11,0
,샘은 영혼의 통행로니까、,,,,,,,,,,,,,,,,,,,,,,,13,0
,절대 들어가면 안 돼요！,,,,,,,,,,,,,,,,,,,,,,,13,0
,마、만약 들어가면‥‥,,,,,,,,,,,,,,,,,,,,,,,11,0
,어떻게 되는 걸까？,,,,,,,,,,,,,,,,,,,,,,,10,0
,부、불길한 얘기는 하지 마세요！,,,,,,,,,,,,,,,,,,,,,,,17,0
,절대 들어가면 안 되니까요！,,,,,,,,,,,,,,,,,,,,,,,15,0
,（어、어떻게 되는 거야‥‥）,,,,,,,,,,,,,,,,,,,,,,,15,0
,（지、지금 서 있는 곳은,,,,,,,,,,,,,,,,,,,,,,,13,0
,샘의 밖이니까 세이프겠지？）,,,,,,,,,,,,,,,,,,,,,,,15,0
,,,,,,,,,,,,,,,,,,,,,,,,0,0
,여기는 이미 조사했지。,,,,,,,,,,,,,,,,,,,,,,,12,0
,,,,,,,,,,,,,,,,,,,,,,,,0,0
,특별히 신경 쓰이는 곳은 없군。,,,,,,,,,,,,,,,,,,,,,,,17,0
,,,,,,,,,,,,,,,,,,,,,,,,0,0
,같은 날 모 시각,,,,,,,,,,,,,,,,,,,,,,,9,0
,구치소,,,,,,,,,,,,,,,,,,,,,,,3,0
,（마요이는,,,,,,,,,,,,,,,,,,,,,,,5,0
,아직 조사 중인 것 같군‥‥）,,,,,,,,,,,,,,,,,,,,,,,16,0
,（다른 곳에 갔다가,,,,,,,,,,,,,,,,,,,,,,,10,0
,나중에 오는 거로 하자）,,,,,,,,,,,,,,,,,,,,,,,13,0
,여기는 이미 조사했지。,,,,,,,,,,,,,,,,,,,,,,,12,0
,,,,,,,,,,,,,,,,,,,,,,,,0,0
,특별히 신경 쓰이는 곳은 없군。,,,,,,,,,,,,,,,,,,,,,,,17,0
,,,,,,,,,,,,,,,,,,,,,,,,0,0
,종이 놓여 있는데‥‥,,,,,,,,,,,,,,,,,,,,,,,11,0
,이걸 써서,,,,,,,,,,,,,,,,,,,,,,,5,0
,간수를 부르라는 걸까？,,,,,,,,,,,,,,,,,,,,,,,12,0
,땡 땡,,,,,,,,,,,,,,,,,,,,,,,3,0
,변호사！,,,,,,,,,,,,,,,,,,,,,,,4,0
,용무도 없으면서 부르지 마라！,,,,,,,,,,,,,,,,,,,,,,,16,0
,죄、죄송합니다‥‥。,,,,,,,,,,,,,,,,,,,,,,,10,0
,（아직 아무 말도 안 했는데）,,,,,,,,,,,,,,,,,,,,,,,16,0
,,,,,,,,,,,,,,,,,,,,,,,,0,0
,（아까부터 간수와,,,,,,,,,,,,,,,,,,,,,,,9,0
,종종 눈이 맞네‥‥）,,,,,,,,,,,,,,,,,,,,,,,11,0
,（신경 쓰면 안 되지만‥‥,,,,,,,,,,,,,,,,,,,,,,,14,0
,앗、또 눈 마주쳤다‥‥！）,,,,,,,,,,,,,,,,,,,,,,,14,0
,,,,,,,,,,,,,,,,,,,,,,,,0,0
,이걸 울리면、간수가,,,,,,,,,,,,,,,,,,,,,,,10,0
,와주는 거죠？,,,,,,,,,,,,,,,,,,,,,,,7,0
,흠。이 몸에게는,,,,,,,,,,,,,,,,,,,,,,,8,0
,그런 건 필요 없다。,,,,,,,,,,,,,,,,,,,,,,,11,0
,‥‥‥‥이봐、간수。,,,,,,,,,,,,,,,,,,,,,,,10,0
,말씀 걸어주셔서 영광입니다！,,,,,,,,,,,,,,,,,,,,,,,15,0
,레이파 님！,,,,,,,,,,,,,,,,,,,,,,,6,0
,봤느냐、뾰족 머리。,,,,,,,,,,,,,,,,,,,,,,,10,0
,그대도 해보아라。,,,,,,,,,,,,,,,,,,,,,,,9,0
,예、예에‥‥알겠습니다。,,,,,,,,,,,,,,,,,,,,,,,12,0
,저、저기‥‥간수 씨、,,,,,,,,,,,,,,,,,,,,,,,11,0
,잠깐 괜찮습니까？,,,,,,,,,,,,,,,,,,,,,,,9,0
,‥‥‥‥‥‥칫！,,,,,,,,,,,,,,,,,,,,,,,8,0
,변호사 목소리는,,,,,,,,,,,,,,,,,,,,,,,8,0
,닿지 않나 보구나！,,,,,,,,,,,,,,,,,,,,,,,10,0
,（어차피 이럴 거라고,,,,,,,,,,,,,,,,,,,,,,,11,0
,생각했어‥‥）,,,,,,,,,,,,,,,,,,,,,,,7,0
,,,,,,,,,,,,,,,,,,,,,,,,0,0
,（지금은 이 증거품보다,,,,,,,,,,,,,,,,,,,,,,,12,0
,들어두고 싶은 게 있었지）,,,,,,,,,,,,,,,,,,,,,,,14,0
,（레이파 님이 없는 동안에、,,,,,,,,,,,,,,,,,,,,,,,15,0
,마요이에게서 얘기를 듣자）,,,,,,,,,,,,,,,,,,,,,,,14,0
,,,,,,,,,,,,,,,,,,,,,,,,0,0
,（지금은、다른 곳에,,,,,,,,,,,,,,,,,,,,,,,10,0
,이동할 때가 아니지）,,,,,,,,,,,,,,,,,,,,,,,11,0
