,번역,수정사항,,
,,,,
,,,,
,여기는 이미 조사했지。,,,
,,,,
,특별히 신경 쓰이는 것은 없다。,,,
,여기에 있는 도구。,,,
,어떤 마술에 쓰이는 걸까요?,,,
,예를 들면‥‥,,,
,이 작은 기요틴이라던가。,,,
,이거、사람 목은 안 들어가겠지。,,,
,역시 고양이일까?,,,
,자、잔인해!,,,
,미누키는 그럴 애가 아니에요!,,,
,‥‥쳇。내가 기요틴에 들어갔을,,,
,땐 아무 말도 안 했으면서。,,,
,그거야、선배 구경이,,,
,재밌었으니까 그렇죠。,,,
,선배가 비명 지르는 혼신의 연기、,,,
,완전 웃기거든요。,,,
,（꽤 진심으로,,,
,겁났었는데‥‥）,,,
,,,,
,이 가구、,,,
,사용하기 어렵네요。,,,
,“가구”‥‥로서 기능적이라고는,,,
,말하기 힘든 모양새야。,,,
,맨 위 선반에는、,,,
,구멍이 뚫려있고。,,,
,가끔、안에 넣은 게,,,
,사라질 때도 있죠。,,,
,마치 가구 자체가、마술 도구였던,,,
,자신을 떠올린 것처럼。,,,
,‥‥정말、가구로는,,,
,문제가 있다고 생각해。,,,
,,,,
,이런 곳에도 마술 도구가 있어。,,,
,앗! 저、이 고리 마술엔,,,
,자신 있어요!,,,
,선배는 할 수 있나요?,,,
,‥‥나한테는 무리야。,,,
,죽었다 깨어나도。,,,
,그렇죠? 그럴 줄 알았어요。,,,
,선배는 운동신경이 둔한 것 같고。,,,
,‥‥그런데 이거、,,,
,“인체부유술”에 쓰는 도구 같아。,,,
,앗! ‥‥훌라후프가,,,
,아닌가요?,,,
,특기라고 했지?,,,
,인체부유술。,,,
,윽!,,,
,이번에 미누키의 조수로 추천,,,
,할 게。내 후임으로。,,,
,그、그건 봐주세요!,,,
,찰리 선배。아까 물을,,,
,주니까 생기가 생겼어요。,,,
,책상도 어질러 놓는,,,
,나루호도 씨가‥‥,,,
,그걸 돌보는 것만큼은,,,
,절대 빼놓지 않지。,,,
,나루호도 씨、저 식물을 보고,,,
,미소지을 때가 있어요。,,,
,추억의 물건인 걸까요?,,,
,글쎄。나루호도 씨가 신참 때부터,,,
,이 사무소에 있던 것 같은데‥‥。,,,
,뭔가、물어보기 힘든 분위기라서。,,,
,보통내기가 아니네요。,,,
,찰리 선배。,,,
,,,,
,법률과 관련된 책이나 과거의,,,
,사건 파일들이 잔뜩 늘어서 있다。,,,
,‥‥라고 생각했죠?,,,
,그런데、잘 보면 대부분,,,
,마술과 관련된 책이에요。,,,
,뭣!,,,
,‥‥저、정말이네。,,,
,이거、커버만 정중하게,,,
,법률 서적의 것을 씌워놨네。,,,
,차근차근 잠식되고 있었군요。,,,
,마술 도구들에게。,,,
,‥‥요즘、사무실에 있으면‥‥,,,
,내가 변호사란 걸,,,
,잊게 되는 것 같아。,,,
,선배 머릿속도,,,
,이미 잠식된 것 같네요。,,,
,여전히 지저분한 상태네。,,,
,물건에 점령당했어。,,,
,선배의 이 화려한 재킷、,,,
,계속 두기만 하는 것 같네요。,,,
,화려하다고 하지 말라구。,,,
,꽤 마음에 들어서 산 거니까。,,,
,그럼 입으면 될 거 아닌가요?,,,
,으、으음。,,,
,（전에 입었을 때는‥‥）,,,
,아! 오도로키 씨!,,,
,겨우 결심하셨군요!,,,
,개그맨으로 데뷔하기로。,,,
,파파와 코코네 씨와 짜고、,,,
,신호등 트리오! 같은 느낌으로。,,,
,그 재킷에는、,,,
,슬픈 기억이 있어。,,,
,?,,,
,,,,
,（여기는 이미 조사했지）,,,
,특별히 신경 쓰이는 것은 없다。,,,
,（감시 카메라가 차가운 시선을,,,
,이쪽으로 보내고 있다）,,,
,（저게 보고 있다고 의식하니,,,
,조금 긴장되네）,,,
,（간수가 미동 하나 없이,,,
,서 있다。그리고‥‥）,,,
,（그 간수를 웃게 하려고、키즈키,,,
,씨가 이상한 얼굴을 하고 있다）,,,
,아! 방금、살짝,,,
,웃지 않았어요?,,,
,‥‥그만해。,,,
,놀리면서 노는 건‥‥。,,,
,（유리 너머로는、이걸 통해서,,,
,이야기하는 듯하다。그리고‥‥）,,,
,（키즈키 씨가 유리 너머의,,,
,간수와 끝말잇기를 하고 있다）,,,
,윽。의외로 만만치 않아요。,,,
,저 간수。,,,
,미동 하나 없이 즉답한다구요。,,,
,질 수는 없죠!,,,
, (저 간수‥‥,,,
,참 한가해 보이네‥‥）,,,
,,,,
,저는 괜찮아요! 팬들을,,,
,위해서라도 극복해야죠。,,,
,,,,
,미누키。,,,
,지금、동요했지。,,,
,‥‥저는、전혀 동요 따위,,,
,하지 않았어요。,,,
,오도로키 씨야말로、,,,
,이마에 땀이 흐르고 있는데요。,,,
,아무것도 모를 때 나오는,,,
,오도로키 씨의 버릇이네요。,,,
,（‥‥으으、거꾸로,,,
,미누키에게 지적받아 버렸다）,,,
,,,,
,（보인다。평소엔 안 보이는 세세한,,,
,몸짓이나 표정의 변화가‥‥!）,,,
,（이것이“집중하기”‥‥,,,
,라는 것）,,,
,（그리고 사람은 긴장했을 때,,,
,특징적인 버릇이 나타나곤 하지）,,,
,（우선 시야를 조작해서 버릇이,,,
,나오는 부분을 찾아내는 거야）,,,
,（이번엔 여기에서 버릇이,,,
,나오고 있는 거 같아‥‥）,,,
,（다음은 버릇이 나오는,,,
,《말》을 찾아내서、）,,,
,（《꿰뚫어보기》（）를 터치하고、,,,
,버릇을 간파하는 거야!）,,,
,,,,
,버릇이 나오는 말을 찾으면、,,,
,꿰뚫어보기를 터치（）하는 거야。,,,
,,,,
,미누키。알고 있지?,,,
,나한테는 숨겨도 소용없다는 거。,,,
,!,,,
,설마、반응했나요。,,,
,오도로키 씨의 팔찌。,,,
,‥‥응。,,,
,웃는 얼굴로 있으려‥‥했는데。,,,
,‥‥‥‥‥‥,,,
,헤헤。저、,,,
,마술사 실격이네요。,,,
,진정한 엔터테이너는 어떠한 상황,,,
,에서도 웃음을 잃어선 안 된다。,,,
,너의 신념이었지。,,,
,네。돌아가신 파파가,,,
,남겨준 아루마지키의 신념‥‥。,,,
,전 한 번도 잊은 적이,,,
,없어요。,,,
,파파와의 몇 안 되는,,,
,추억 중 하나니까요。,,,
,하지만、전부 짊어지려다간,,,
,‥‥쓰러질 거야。,,,
,미누키。혹시,,,
,고민이 있다면 말해주지 않을래?,,,
,하지만! 그런 걸 말했다간‥‥,,,
,오도로키 씨、분명 곤란할 거예요。,,,
,저를、,,,
,믿지 못하게 될 거예요。,,,
